127.0.0.1 - - [23/Oct/2023:11:05:08 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:05:27 -0300] "GET /front20end/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:05:28 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:16:16 -0300] "GET /frontend/ HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:32:35 -0300] "GET /front%20end HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:32:35 -0300] "GET /front%20end/ HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:33:00 -0300] "GET /front%20end/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:40:04 -0300] "GET /front%20end/ HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:40:11 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1013
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:42:08 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:42:18 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:45:38 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:45:40 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:45:42 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:45:45 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:45:48 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:48:07 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:48:12 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:48:14 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:52:46 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:52:51 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:52:54 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:53:02 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:54:54 -0300] "GET /front%20end/?nome=&Login=&senha= HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:55:00 -0300] "GET /front%20end/?nome=Claudio&login=&senha= HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:55:03 -0300] "GET /front%20end/?nome=&login=&senha= HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Oct/2023:11:56:00 -0300] "GET /front%20end/?nome=&login=&senha= HTTP/1.1" 200 1305
